# Public DNS Resolvers for benchmarking
# Format: IP Address  Name

# Google Public DNS
8.8.8.8         Google-Primary
8.8.4.4         Google-Secondary

# Cloudflare DNS
1.1.1.1         Cloudflare-Primary
1.0.0.1         Cloudflare-Secondary

# Quad9
9.9.9.9         Quad9-Primary
149.112.112.112 Quad9-Secondary

# OpenDNS
208.67.222.222  OpenDNS-Primary
208.67.220.220  OpenDNS-Secondary

# NextDNS
45.90.28.0      NextDNS-Primary
45.90.30.0      NextDNS-Secondary

# Comodo Secure DNS
8.26.56.26      Comodo-Primary
8.20.247.20     Comodo-Secondary

# AdGuard DNS
94.140.14.14    AdGuard-Primary
94.140.15.15    AdGuard-Secondary

# CleanBrowsing
185.228.168.9   CleanBrowsing-Primary
185.228.169.9   CleanBrowsing-Secondary
